Statistical profiling result from isolate-0x103000000-v8.log, (27943 ticks, 3546 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    233    0.8%          /usr/lib/system/libsystem_platform.dylib
    100    0.4%          /usr/lib/libc++abi.dylib
     70    0.3%          /usr/lib/system/libsystem_malloc.dylib
     53    0.2%          /usr/lib/system/libsystem_m.dylib
      3    0.0%          /usr/lib/system/libsystem_kernel.dylib
      2    0.0%          /usr/lib/system/libsystem_pthread.dylib

 [JavaScript]:
   ticks  total  nonlib   name
    738    2.6%    2.7%  LoadIC: A load IC from the snapshot
    569    2.0%    2.1%  StoreIC: A store IC from the snapshot
    514    1.8%    1.9%  LazyCompile: *parserOnHeadersComplete _http_common.js:62:33
    508    1.8%    1.8%  LazyCompile: *_tickCallback internal/process/next_tick.js:92:25
    493    1.8%    1.8%  LazyCompile: ~byteLength buffer.js:496:20
    466    1.7%    1.7%  Builtin: KeyedLoadIC_Megamorphic
    457    1.6%    1.7%  Stub: StringAddStub
    408    1.5%    1.5%  Builtin: InterpreterEntryTrampoline
    297    1.1%    1.1%  Builtin: ToString
    225    0.8%    0.8%  KeyedLoadIC: A keyed load IC from the snapshot
    219    0.8%    0.8%  LazyCompile: *_storeHeader _http_outgoing.js:291:22
    215    0.8%    0.8%  LazyCompile: *_resolve /Users/Axel/Development/router/index.js:111:23
    213    0.8%    0.8%  LazyCompile: *nextTick internal/process/next_tick.js:146:20
    204    0.7%    0.7%  LazyCompile: *<anonymous> /Users/Axel/Development/router/lib/http.js:8:49
    173    0.6%    0.6%  Stub: RecordWriteStub {6}
    171    0.6%    0.6%  Builtin: NumberIsSafeInteger
    169    0.6%    0.6%  LazyCompile: *exports.validate /Users/Axel/Development/router/lib/objects/validation.js:40:20
    154    0.6%    0.6%  LazyCompile: ~matchKnownFields _http_incoming.js:150:26
    141    0.5%    0.5%  Builtin: CallFunction_ReceiverIsAny
    136    0.5%    0.5%  LazyCompile: *parserOnIncoming _http_server.js:585:26
    131    0.5%    0.5%  Builtin: KeyedStoreIC_Megamorphic_Strict
    129    0.5%    0.5%  LazyCompile: *_send _http_outgoing.js:217:49
    123    0.4%    0.4%  LazyCompile: *resetSocketTimeout _http_server.js:647:28
    122    0.4%    0.4%  LazyCompile: *socketOnWrap _http_server.js:690:22
    120    0.4%    0.4%  Builtin: RegExpPrototypeTest
    118    0.4%    0.4%  Builtin: StringEqual
    115    0.4%    0.4%  LazyCompile: *onParserExecute _http_server.js:476:25
    114    0.4%    0.4%  Builtin: ArgumentsAdaptorTrampoline
    102    0.4%    0.4%  LazyCompile: *writeHead _http_server.js:196:19
     98    0.4%    0.4%  LazyCompile: *emitReadable_ _stream_readable.js:523:23
     96    0.3%    0.3%  LazyCompile: ~parse /Users/Axel/Development/router/node_modules/query-string/index.js:130:15
     93    0.3%    0.3%  Builtin: ArrayIncludes
     92    0.3%    0.3%  Stub: JSEntryStub
     92    0.3%    0.3%  KeyedLoadIC: A keyed load IC from the snapshot {1}
     75    0.3%    0.3%  LoadIC: A load IC from the snapshot {1}
     71    0.3%    0.3%  Builtin: Call_ReceiverIsAny
     67    0.2%    0.2%  Stub: StringAddStub {1}
     67    0.2%    0.2%  Stub: RecordWriteStub {4}
     64    0.2%    0.2%  Builtin: StringToLowerCaseIntl
     63    0.2%    0.2%  KeyedStoreIC: A keyed store IC from the snapshot
     63    0.2%    0.2%  Builtin: ObjectKeys
     57    0.2%    0.2%  Stub: CallApiCallbackStub
     56    0.2%    0.2%  LazyCompile: *parserOnMessageComplete _http_common.js:141:33
     54    0.2%    0.2%  LazyCompile: ~<anonymous> native typedarray.js:937:48
     54    0.2%    0.2%  LazyCompile: *_addHeaderLine _http_incoming.js:286:24
     53    0.2%    0.2%  LazyCompile: *_writeRaw _http_outgoing.js:246:19
     52    0.2%    0.2%  LazyCompile: ~removeAllListeners events.js:364:32
     51    0.2%    0.2%  Builtin: StrictEqual
     51    0.2%    0.2%  Builtin: CallBoundFunction
     49    0.2%    0.2%  Stub: CEntryStub {1}
     48    0.2%    0.2%  LazyCompile: *ServerResponse _http_server.js:120:24
     46    0.2%    0.2%  Builtin: Call_ReceiverIsNotNullOrUndefined
     46    0.2%    0.2%  Builtin: CallWithArrayLike
     45    0.2%    0.2%  Stub: StringAddStub {2}
     45    0.2%    0.2%  LazyCompile: ~ok assert.js:84:12
     45    0.2%    0.2%  Builtin: RegExpReplace
     43    0.2%    0.2%  LazyCompile: *allowed /Users/Axel/Development/router/lib/objects/validation.js:23:23
     41    0.1%    0.1%  Builtin: ResumeGeneratorTrampoline
     41    0.1%    0.1%  Builtin: JSEntryTrampoline
     40    0.1%    0.1%  Builtin: PromiseResolveClosure
     40    0.1%    0.1%  Builtin: GrowFastSmiOrObjectElements
     38    0.1%    0.1%  Builtin: AsyncFunctionAwaitCaught
     37    0.1%    0.1%  RegExp: [^\\t\\x20-\\x7e\\x80-\\xff]
     35    0.1%    0.1%  Builtin: StringPrototypeSplit
     35    0.1%    0.1%  Builtin: ResolveNativePromise
     34    0.1%    0.1%  Handler: An IC handler from the snapshot
     34    0.1%    0.1%  Builtin: FastNewClosure
     34    0.1%    0.1%  Builtin: CallFunction_ReceiverIsNullOrUndefined
     33    0.1%    0.1%  LazyCompile: ~emitPromiseRejectionWarnings internal/process/promises.js:86:38
     33    0.1%    0.1%  Builtin: CompileLazy
     33    0.1%    0.1%  Builtin: Call_ReceiverIsNullOrUndefined
     32    0.1%    0.1%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     31    0.1%    0.1%  Builtin: ObjectPrototypeHasOwnProperty
     29    0.1%    0.1%  Builtin: PromiseHandle
     28    0.1%    0.1%  LazyCompile: *reuse timers.js:350:15
     27    0.1%    0.1%  LazyCompile: *Readable.read _stream_readable.js:377:35
     26    0.1%    0.1%  RegExp: ^:
     25    0.1%    0.1%  Stub: RecordWriteStub {2}
     25    0.1%    0.1%  Stub: CEntryStub
     25    0.1%    0.1%  LazyCompile: *resOnFinish _http_server.js:545:21
     25    0.1%    0.1%  LazyCompile: *Socket._writeGeneric net.js:687:42
     24    0.1%    0.1%  Builtin: StringPrototypeSubstring
     22    0.1%    0.1%  Stub: RecordWriteStub {3}
     21    0.1%    0.1%  Stub: GetPropertyStub
     21    0.1%    0.1%  LazyCompile: *module.exports /Users/Axel/Development/router/lib/filters/method.js:7:18
     21    0.1%    0.1%  LazyCompile: *InnerArrayFind native array.js:843:24
     20    0.1%    0.1%  LazyCompile: *pushValueToArray bootstrap_node.js:300:30
     20    0.1%    0.1%  LazyCompile: *insert timers.js:174:16
     20    0.1%    0.1%  LazyCompile: *end _http_outgoing.js:731:45
     19    0.1%    0.1%  LazyCompile: ~_send _http_outgoing.js:217:49
     19    0.1%    0.1%  LazyCompile: *required /Users/Axel/Development/router/lib/objects/validation.js:12:24
     19    0.1%    0.1%  LazyCompile: *module.exports /Users/Axel/Development/router/lib/filters/path.js:5:18
     19    0.1%    0.1%  LazyCompile: *matchKnownFields _http_incoming.js:150:26
     19    0.1%    0.1%  LazyCompile: *emit events.js:138:44
     19    0.1%    0.1%  Builtin: FastNewObject
     19    0.1%    0.1%  Builtin: CallVarargs
     19    0.1%    0.1%  Builtin: Add {1}
     18    0.1%    0.1%  LazyCompile: *connectionCorkNT _http_outgoing.js:688:26
     18    0.1%    0.1%  Builtin: PromiseConstructor
     17    0.1%    0.1%  StoreIC: A store IC from the snapshot {1}
     17    0.1%    0.1%  Builtin: StringIndexOf
     17    0.1%    0.1%  Builtin: AdaptorWithBuiltinExitFrame
     16    0.1%    0.1%  Stub: RecordWriteStub {7}
     15    0.1%    0.1%  Builtin: ResolvePromise
     14    0.1%    0.1%  Stub: CallApiCallbackStub {3}
     14    0.1%    0.1%  LazyCompile: *module.exports /Users/Axel/Development/router/lib/filters/parameter.js:5:18
     14    0.1%    0.1%  LazyCompile: *keys.find.key /Users/Axel/Development/router/lib/filters/parameter.js:9:27
     14    0.1%    0.1%  Builtin: PerformNativePromiseThen
     14    0.1%    0.1%  Builtin: JSBuiltinsConstructStub
     13    0.0%    0.0%  RegExp: ^[?#&]
     13    0.0%    0.0%  LazyCompile: *resume_ _stream_readable.js:831:17
     13    0.0%    0.0%  LazyCompile: *parse /Users/Axel/Development/router/node_modules/query-string/index.js:130:15
     13    0.0%    0.0%  LazyCompile: *_flush _http_outgoing.js:822:51
     13    0.0%    0.0%  Builtin: StringCharAt
     12    0.0%    0.0%  Stub: RecordWriteStub
     12    0.0%    0.0%  LazyCompile: *exports.enroll timers.js:390:26
     12    0.0%    0.0%  Builtin: StringPrototypeToLowerCaseIntl
     12    0.0%    0.0%  Builtin: JSConstructStubGenericUnrestrictedReturn
     11    0.0%    0.0%  Builtin: AdaptorWithExitFrame
     10    0.0%    0.0%  Stub: RecordWriteStub {5}
     10    0.0%    0.0%  Builtin: StringConstructor
      9    0.0%    0.0%  Stub: ArraySingleArgumentConstructorStub
      9    0.0%    0.0%  LazyCompile: *onCorkedFinish _stream_writable.js:655:24
      8    0.0%    0.0%  Builtin: ObjectCreate
      8    0.0%    0.0%  Builtin: NumberParseInt
      8    0.0%    0.0%  Builtin: AsyncFunctionPromiseCreate
      7    0.0%    0.0%  Stub: CallApiCallbackStub {2}
      7    0.0%    0.0%  LazyCompile: ~socketOnWrap _http_server.js:690:22
      7    0.0%    0.0%  LazyCompile: ~module.exports /Users/Axel/Development/router/lib/filters/parameter.js:5:18
      7    0.0%    0.0%  LazyCompile: ~OutgoingMessage _http_outgoing.js:71:25
      7    0.0%    0.0%  LazyCompile: *find native array.js:855:46
      6    0.0%    0.0%  LazyCompile: ~Readable.read _stream_readable.js:377:35
      6    0.0%    0.0%  LazyCompile: *parserForArrayFormat /Users/Axel/Development/router/node_modules/query-string/index.js:41:30
      6    0.0%    0.0%  LazyCompile: *exports.unenroll timers.js:367:45
      6    0.0%    0.0%  LazyCompile: *endReadableNT _stream_readable.js:1101:23
      6    0.0%    0.0%  Builtin: StringPrototypeReplace
      6    0.0%    0.0%  Builtin: LoadICProtoArray
      6    0.0%    0.0%  Builtin: HandleApiCall
      5    0.0%    0.0%  Stub: RecordWriteStub {8}
      5    0.0%    0.0%  LazyCompile: ~required /Users/Axel/Development/router/lib/objects/validation.js:12:24
      5    0.0%    0.0%  LazyCompile: ~parserOnIncoming _http_server.js:585:26
      5    0.0%    0.0%  LazyCompile: ~flow _stream_readable.js:855:14
      5    0.0%    0.0%  LazyCompile: ~exports.enroll timers.js:390:26
      5    0.0%    0.0%  LazyCompile: ~emit events.js:138:44
      5    0.0%    0.0%  LazyCompile: ~_addHeaderLine _http_incoming.js:286:24
      5    0.0%    0.0%  LazyCompile: ~Socket.setTimeout net.js:365:39
      5    0.0%    0.0%  LazyCompile: *afterWrite _stream_writable.js:473:20
      5    0.0%    0.0%  LazyCompile: *<anonymous> native typedarray.js:937:48
      5    0.0%    0.0%  Builtin: JsonStringify
      4    0.0%    0.0%  LazyCompile: ~writeOrBuffer _stream_writable.js:362:23
      4    0.0%    0.0%  LazyCompile: ~resume_ _stream_readable.js:831:17
      4    0.0%    0.0%  LazyCompile: ~resOnFinish _http_server.js:545:21
      4    0.0%    0.0%  LazyCompile: ~parserOnHeadersComplete _http_common.js:62:33
      4    0.0%    0.0%  LazyCompile: ~onCorkedFinish _stream_writable.js:655:24
      4    0.0%    0.0%  LazyCompile: ~nextTick internal/process/next_tick.js:146:20
      4    0.0%    0.0%  LazyCompile: ~find native array.js:855:46
